id,question number,answer on original code,answer on decompiled code,
1,1,Y,Y,
1,2,Y,Y,
1,3,Y,N,
1,4,N,N,
1,5,N,N,
1,6,N,N,
1,7,N,N,
1,8,Y,N,
2,1,Y,Y,
2,2,Y,Y,
2,3,N,N,
2,4,Y,N,
2,5,Y,Y,
2,6,N,N,
2,7,Y,N,
2,8,Y,Y,
3,1,Y,Y,
3,2,Y,Y,
3,3,N,Y,
3,4,Y,Y,
3,5,Y,Y,
3,6,N,N,
3,7,Y,N,
3,8,Y,Y,
4,1,Y,Y,
4,2,N,N,
4,3,N,N,
4,4,N,N,
4,5,N,N,
4,6,Y,Y,
4,7,N,N,
4,8,N,N,
5,1,Y,Y,
5,2,Y,Y,
5,3,N,N,
5,4,N,Y,
5,5,N,Y,
5,6,N,N,
5,7,Y,Y,
5,8,Y,Y,
6,1,Y,Y,
6,2,N,Y,
6,3,N,N,
6,4,N,Y,
6,5,N,Y,
6,6,N,N,
6,7,N,Y,
6,8,N,Y,
7,1,Y,Y,
7,2,N,N,
7,3,N,N,
7,4,N,N,
7,5,N,Y,
7,6,N,N,
7,7,N,Y,
7,8,Y,Y,
8,1,Y,Y,
8,2,N,Y,
8,3,N,N,
8,4,N,N,
8,5,N,N,
8,6,N,Y,
8,7,N,Y,
8,8,N,Y,
9,1,Y,Y,
9,2,N,N,
9,3,N,N,
9,4,N,N,
9,5,N,N,
9,6,N,N,
9,7,N,N,
9,8,N,N,
10,1,Y,Y,
10,2,N,N,
10,3,N,Y,
10,4,Y,N,
10,5,N,Y,
10,6,N,N,
10,7,N,N,
10,8,N,N,
11,1,Y,Y,
11,2,Y,Y,
11,3,N,N,
11,4,N,N,
11,5,N,N,
11,6,N,N,
11,7,N,N,
11,8,N,N,
12,1,Y,Y,
12,2,Y,Y,
12,3,N,N,
12,4,N,N,
12,5,N,N,
12,6,N,N,
12,7,N,N,
12,8,N,N,
13,1,Y,Y,
13,2,N,Y,
13,3,N,N,
13,4,Y,Y,
13,5,N,Y,
13,6,N,Y,
13,7,Y,N,
13,8,Y,Y,
14,1,Y,Y,
14,2,Y,N,
14,3,Y,N,
14,4,Y,Y,
14,5,Y,Y,
14,6,Y,N,
14,7,Y,N,
14,8,Y,N,
15,1,Y,Y,
15,2,N,N,
15,3,N,N,
15,4,N,Y,
15,5,N,N,
15,6,N,N,
15,7,Y,Y,
15,8,N,N,

Question number,Number of wrong answer,Percentage of wrong answer
1,0,0.0%
2,4,12.9%
3,3,9.7%
4,5,16.1%
5,5,16.1%
6,3,9.7%
7,7,22.6%
8,4,12.9%
TOTAL,31/120,

Application Number,# wrong answers ,% wrong answers
1,2,25.0%
2,2,25.0%
3,2,25.0%
4,0,0.0%
5,2,25.0%
6,5,62.5%
7,2,25.0%
8,4,50.0%
9,0,0.0%
10,3,37.5%
11,0,0.0%
12,0,0.0%
13,4,50.0%
14,5,62.5%
15,1,12.5%
