Id,variable/function,old name,new name,Meaningfulness,Effectiveness,
7,function,entry,printDataSizeInfo,3,1,
20,variable,iVar1,currentTermIndex,3,3,
20,variable,local_34,numTerms,3,3,
20,function,_printf,printf,3,3,
20,function,_scanf,scanf,3,3,
20,function,entry,printFibonacciSeries,3,1,
49,variable,iVar1,result,3,2,
49,variable,puVar2,pointerVar2,2,1,
49,variable,piVar3,pointerIntVar3,2,1,
49,variable,uVar4,ulongVar4,2,1,
49,variable,lVar5,longVar5,2,1,
49,variable,lVar6,longVar6,2,1,
49,variable,uVar7,ulongVar7,2,1,
49,variable,piVar8,pointerIntVar8,3,2,
49,variable,puVar9,pointerVar9,2,2,
49,variable,uVar10,ulongVar10,2,1,
49,variable,piVar11,pointerIntVar11,3,2,
49,variable,uVar12,ulongVar12,2,1,
49,variable,piVar13,pointerIntVar13,3,2,
49,variable,uVar14,ulongVar14,2,1,
49,variable,uVar15,ulongVar15,2,1,
49,variable,uVar16,ulongVar16,2,1,
49,variable,iVar17,intVar17,2,1,
49,variable,iVar18,intVar18,2,1,
49,variable,iVar19,intVar19,2,1,
49,variable,iVar20,intVar20,2,1,
49,variable,iVar21,intVar21,2,1,
49,variable,iVar22,intVar22,2,1,
49,variable,iVar23,intVar23,2,1,
49,variable,iVar24,intVar24,2,1,
49,variable,iVar25,intVar25,2,1,
49,variable,iVar26,intVar26,2,1,
49,variable,iVar27,intVar27,2,1,
49,variable,iVar28,intVar28,2,1,
49,variable,iVar29,intVar29,2,1,
49,variable,iVar30,intVar30,2,1,
49,variable,iVar31,intVar31,2,1,
49,variable,local_528,secondMatrixColumns,3,3,
49,variable,local_524,secondMatrixRows,3,3,
49,variable,local_520,firstMatrixColumns,3,3,
49,variable,local_51c,firstMatrixRows,3,3,
49,variable,local_518,firstMatrix,3,3,
49,variable,local_388,secondMatrix,3,3,
49,variable,local_1f8,tempMatrix,3,3,
49,variable,auStack_1d8,stackArray,3,3,
49,variable,local_68,stackCheckVar,3,3,
49,function,entry,mainFunction,3,3,
49,function,___stack_chk_fail,stackCheckFail,3,3,
53,variable,iVar1,scanResult,2,1,
53,function,entry,swapAndDisplayValues,3,2,
53,function,_printf,print,3,2,
53,function,_puts,printLine,2,1,
53,function,_scanf,scan,3,2,
58,function,entry,main,3,3,
61,variable,puVar1,inputFilePointer,,,
61,variable,iVar2,comparisonResult,,,
61,variable,auStack_174,tempWordBuffer,,,
61,variable,acStack_142,word1,,,
61,variable,acStack_110,word2,,,
61,variable,acStack_de,word3,,,
61,variable,acStack_ac,word4,,,
61,variable,acStack_7a,word5,,,
61,variable,local_48,stackCheckGuard,,,
61,function,entry,main,,,
61,function,___stack_chk_fail,stackCheckFail,,,
61,function,___strcpy_chk,safeStringCopy,,,
61,function,_printf,print,,,
61,function,_fgets,getString,,,
61,function,_strcmp,compareStrings,,,
61,function,_puts,outputString,,,
61,function,_fputs,fileOutputString,,,
62,variable,DAT_100008000,userInputBuffer,,,
62,variable,PTR____stdinp_100004000,stdinPointer,,,
62,function,_puts,puts,,,
62,function,_printf,printf,,,
62,function,_fgets,fgets,,,
62,function,_scanf,scanf,,,
62,function,entry,main,,,
66,variable,DAT_100008034,rollNumber1,,,
66,variable,DAT_100008070,rollNumber2,,,
66,variable,DAT_1000080ac,rollNumber3,,,
66,variable,DAT_1000080e8,rollNumber4,,,
66,variable,DAT_100008124,rollNumber5,,,
66,variable,DAT_100008000,firstName1,,,
66,variable,DAT_10000803c,firstName2,,,
66,variable,DAT_100008078,firstName3,,,
66,variable,DAT_1000080b4,firstName4,,,
66,variable,DAT_1000080f0,firstName5,,,
66,function,_puts,displayMessage,,,
66,function,_printf,displayFormattedMessage,,,
66,function,_scanf,readInput,,,
66,function,_putchar,displayCharacter,,,
69,variable,iVar1,fileCloseStatus,,,
69,variable,pFVar2,filePointer,,,
69,variable,lVar3,stackCheckGuard,,,
69,function,entry,main,,,
69,function,_fopen,openFile,,,
69,function,_printf,printMessage,,,
69,function,_exit,exitProgram,,,
69,function,_fscanf,scanFile,,,
69,function,_fclose,closeFile,,,
69,function,___stack_chk_fail,stackCheckFail,,,
69,function,___stack_chk_fail,stackCheckFailDuplicate,,,
69,function,halt_baddata,haltBadData,,,
70,variable,iVar1,readChar,,,
70,variable,pFVar2,filePointer,,,
70,function,_fopen,fopen,,,
70,function,_getc,getc,,,
70,function,_putchar,putchar,,,
70,function,_fclose,fclose,,,
70,function,entry,printFileContents,,,
